#
#--------LOG from Fri 25 Sep 2015 at 11h:52m:35s ---------
#
#voltage(V)	current(A)	timestamp
  -0.024	+3.4996e-09	1443199777
 -10.009	-2.6856e-11	1443199781
 -19.995	-1.8345e-09	1443199785
 -29.980	-3.6291e-09	1443199789
 -39.964	-4.9887e-09	1443199793
 -49.950	-6.8845e-09	1443199797
 -59.953	-1.0061e-08	1443199801
 -69.939	-1.5527e-08	1443199805
 -79.948	-2.1568e-08	1443199809
 -89.961	-2.7005e-08	1443199813
 -99.975	-3.1695e-08	1443199817
-109.989	-3.6340e-08	1443199821
-120.000	-3.9756e-08	1443199825
-130.014	-4.2743e-08	1443199829
-140.046	-4.5506e-08	1443199833
-150.055	-4.7639e-08	1443199837
-160.040	-4.9647e-08	1443199841
-170.027	-5.1435e-08	1443199845
-180.012	-5.3265e-08	1443199849
-189.995	-5.5157e-08	1443199853
-199.979	-5.8044e-08	1443199857
-209.965	-6.0150e-08	1443199861
-219.951	-6.0554e-08	1443199865
-229.974	-6.3114e-08	1443199869
-239.988	-6.7339e-08	1443199873
-250.003	-7.0751e-08	1443199878
-260.016	-8.2933e-08	1443199882
-270.028	-8.3487e-08	1443199886
-280.041	-9.2681e-08	1443199890
-290.053	-9.5437e-08	1443199894
-300.067	-8.4263e-08	1443199898
-310.071	-1.0936e-07	1443199902
-320.057	-1.8537e-07	1443199906
-330.042	-4.1225e-07	1443199910
-340.026	-1.4916e-06	1443199914
-350.012	-4.4274e-06	1443199918
-359.998	-8.8193e-06	1443199922
-369.984	-1.4588e-05	1443199926
-379.984	-2.2003e-05	1443199930
-389.999	-3.0947e-05	1443199934
-400.032	-4.1638e-05	1443199938
-410.046	-5.4115e-05	1443199942
-420.059	-6.8608e-05	1443199946
-430.074	-8.5115e-05	1443199950
-439.238	-1.0001e-04	1443199954
