#
#--------LOG from Thu 17 Sep 2015 at 15h:31m:14s ---------
#
#voltage(V)	current(A)	timestamp
  -0.025	-2.6329e-07	1442521632
 -10.011	-7.4440e-07	1442521636
 -19.997	-9.8013e-07	1442521640
 -29.982	-1.1679e-06	1442521644
 -39.966	-1.3340e-06	1442521648
 -49.951	-1.4856e-06	1442521652
 -59.955	-1.6315e-06	1442521656
 -69.941	-1.8175e-06	1442521660
 -79.950	-2.0582e-06	1442521664
 -89.963	-2.3096e-06	1442521668
 -99.977	-2.5783e-06	1442521672
-109.990	-2.8831e-06	1442521676
-120.002	-3.2131e-06	1442521680
-130.016	-3.5354e-06	1442521684
-140.047	-3.8727e-06	1442521688
-150.056	-4.2038e-06	1442521692
-160.042	-4.5228e-06	1442521696
-170.029	-4.7889e-06	1442521700
-180.013	-5.0860e-06	1442521704
-189.997	-5.3508e-06	1442521708
-199.981	-5.6346e-06	1442521712
-209.967	-5.9259e-06	1442521716
-219.953	-6.1967e-06	1442521720
-229.976	-6.4464e-06	1442521724
-239.990	-6.7210e-06	1442521728
-250.004	-6.9873e-06	1442521732
-260.018	-7.2555e-06	1442521736
-270.030	-7.5456e-06	1442521740
-280.043	-7.8437e-06	1442521744
-290.056	-8.1303e-06	1442521748
-300.069	-8.4540e-06	1442521752
-310.073	-8.7781e-06	1442521756
-320.058	-9.2173e-06	1442521760
-330.044	-9.6175e-06	1442521764
-340.028	-1.0078e-05	1442521768
-350.014	-1.0549e-05	1442521772
-359.999	-1.1051e-05	1442521776
-369.984	-1.1408e-05	1442521780
-379.984	-1.1941e-05	1442521784
-389.998	-1.2435e-05	1442521788
-400.029	-1.2931e-05	1442521792
-410.043	-1.3677e-05	1442521796
-420.054	-1.4307e-05	1442521800
-430.067	-1.4906e-05	1442521804
-440.080	-1.5353e-05	1442521808
-450.092	-1.5769e-05	1442521812
-460.081	-1.6278e-05	1442521816
-470.066	-1.6928e-05	1442521820
-480.070	-1.7623e-05	1442521824
-490.054	-1.8774e-05	1442521828
-500.039	-2.1052e-05	1442521832
-510.025	-2.4277e-05	1442521836
-520.011	-2.8348e-05	1442521840
-530.008	-3.3446e-05	1442521845
-540.022	-4.0031e-05	1442521849
-550.038	-4.7669e-05	1442521853
-560.070	-5.6279e-05	1442521857
-570.084	-6.6043e-05	1442521861
-580.098	-7.6844e-05	1442521865
-590.113	-8.8937e-05	1442521869
-598.539	-1.0000e-04	1442521873
