# IV test from Thu, 17 Sep 2015 15:01:23 -0500 (CDT) +187322000 nsec
#Test Parameters:
#   HV Supply:      Keithley2410
#   Voltage Start:  0
#   Voltage Stop:   200
#   Voltage Step:   10
#   Delay(s):       1
#   Compliance(uA): 100
#voltage(V)	current(A)	timestamp
  +0.000	-2.459625e-07	2015-09-17 20:01:23.187322000Z
 -10.000	-7.377491e-07	2015-09-17 20:01:24.782281000Z
 -20.000	-9.872729e-07	2015-09-17 20:01:29.386262000Z
 -30.000	-1.176902e-06	2015-09-17 20:01:30.979240001Z
 -40.000	-1.342174e-06	2015-09-17 20:01:32.571273000Z
 -50.000	-1.492158e-06	2015-09-17 20:01:34.166254001Z
 -60.000	-1.633065e-06	2015-09-17 20:01:35.763241001Z
 -70.000	-1.772674e-06	2015-09-17 20:01:37.359241000Z
 -80.000	-1.944829e-06	2015-09-17 20:01:38.956200000Z
 -90.000	-2.197963e-06	2015-09-17 20:01:40.552183000Z
-100.000	-2.533332e-06	2015-09-17 20:01:42.149168000Z
-110.000	-2.984250e-06	2015-09-17 20:01:43.746190000Z
-120.000	-3.526487e-06	2015-09-17 20:01:45.344160000Z
-130.000	-4.055378e-06	2015-09-17 20:01:46.940147001Z
-140.000	-4.530854e-06	2015-09-17 20:01:48.535125000Z
-150.000	-4.984229e-06	2015-09-17 20:01:50.131147000Z
-160.000	-5.444295e-06	2015-09-17 20:01:51.729118000Z
-170.000	-5.918011e-06	2015-09-17 20:01:53.329094000Z
-180.000	-6.387133e-06	2015-09-17 20:01:54.924094000Z
-190.000	-6.837039e-06	2015-09-17 20:01:56.520093001Z
-200.000	-7.313331e-06	2015-09-17 20:01:58.164100000Z
#Sweep completed Normally
